City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Yaan,NG,7.3833,8.5667,77.25,60,13,7.14,few clouds
250,Saint-Joseph,RE,-21.3667,55.6167,77.38,80,31,10.47,scattered clouds
251,Beringovskiy,RU,63.05,179.3167,-11.94,93,100,15.1,overcast clouds
252,Torbay,CA,47.6666,-52.7314,16.57,83,75,18.41,light shower snow
253,Kirakira,SB,-10.4544,161.9205,85.21,68,76,5.77,broken clouds
254,Roald,NO,62.5833,6.1333,38.34,87,100,9.22,overcast clouds
255,Belmonte,BR,-15.8631,-38.8828,81.1,88,9,7.54,clear sky
256,Caravelas,BR,-17.7125,-39.2481,77.61,88,58,8.34,broken clouds
257,Chapais,CA,49.7834,-74.8492,-11.42,98,63,3.85,broken clouds
258,Faanui,PF,-16.4833,-151.75,81.72,71,17,16.35,few clouds
259,Kaili,ID,-3.4626,120.2147,69.64,93,100,1.12,overcast clouds
260,Namibe,AO,-15.1961,12.1522,75.92,76,98,5.37,overcast clouds
261,La Ronge,CA,55.1001,-105.2842,-1.95,65,20,19.57,few clouds
262,Khatanga,RU,71.9667,102.5,-25.06,100,78,5.35,broken clouds
263,Acapulco,MX,16.8634,-99.8901,80.42,74,40,2.3,scattered clouds
264,Beloha,MG,-25.1667,45.05,75.2,82,3,16.26,clear sky
265,Talnakh,RU,69.4865,88.3972,-18.2,83,64,4.68,broken clouds
266,Bira,RU,49.0,132.4667,15.35,85,89,2.04,overcast clouds
267,Amiens,FR,49.9,2.3,50.72,93,100,16.87,light rain
268,Camocim,BR,-2.9022,-40.8411,76.89,84,34,9.35,scattered clouds
269,Tessalit,ML,20.1986,1.0114,62.29,17,57,8.97,broken clouds
270,Tiznit,MA,29.5833,-9.5,57.27,40,57,5.91,broken clouds
271,Jasper,US,37.2001,-94.3502,59.56,45,0,18.41,clear sky
272,Huanren,CN,41.2647,125.3667,8.65,67,100,5.06,overcast clouds
273,Naryan-Mar,RU,67.6713,53.087,6.28,93,9,13.87,clear sky
274,Yaroslavskiy,RU,44.1683,132.2072,13.21,90,100,14.63,light snow
275,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,68,40,8.05,scattered clouds
276,Cherskiy,RU,68.75,161.3,-27.17,98,94,3.71,overcast clouds
277,Hofn,IS,64.2539,-15.2082,36.81,95,100,35.59,moderate rain
278,Sioux Lookout,CA,50.1001,-91.917,12.58,85,100,9.22,overcast clouds
279,College,US,64.8569,-147.8028,1.58,78,75,5.75,light snow
280,Nuuk,GL,64.1835,-51.7216,5.61,78,75,8.05,light snow
281,Thompson,CA,55.7435,-97.8558,3.36,66,100,5.75,overcast clouds
282,Melville,US,40.7934,-73.4151,29.8,58,0,6.91,clear sky
283,Cockburn Town,TC,21.4612,-71.1419,75.16,69,40,17.27,scattered clouds
284,Kavieng,PG,-2.5744,150.7967,82.99,72,99,7.31,light rain
285,Sinnamary,GF,5.3833,-52.95,75.79,90,98,9.04,overcast clouds
286,Sorland,NO,67.667,12.6934,32.81,50,100,28.61,overcast clouds
287,Nador,MA,35.174,-2.9287,48.45,66,0,2.3,clear sky
288,Sijunjung,ID,-0.6876,100.9537,78.46,78,93,1.9,overcast clouds
289,Itaituba,BR,-4.2761,-55.9836,72.73,99,100,0.47,light rain
290,Rio Grande,BR,-32.035,-52.0986,69.94,77,0,10.45,clear sky
291,Nchelenge,ZM,-9.3451,28.734,65.59,92,100,5.5,overcast clouds
292,Ambanja,MG,-13.6833,48.45,73.76,94,55,3.0,light rain
293,Zabol,AF,32.25,67.25,33.57,71,0,6.85,clear sky
294,North Battleford,CA,52.7834,-108.2847,10.49,67,0,16.11,clear sky
295,Magnolia,US,33.2671,-93.2393,62.28,48,78,10.74,broken clouds
296,Tabou,CI,4.423,-7.3528,78.21,86,17,7.36,few clouds
297,Oranjestad,AW,12.524,-70.027,78.67,79,78,21.43,broken clouds
298,Qasigiannguit,GL,68.8193,-51.1922,1.65,99,100,3.96,overcast clouds
299,Aguacatan,GT,15.3431,-91.3117,64.13,72,0,11.5,clear sky
300,Taltal,CL,-25.4,-70.4833,69.24,73,0,4.23,clear sky
301,Kununurra,AU,-15.7667,128.7333,91.38,58,35,4.61,scattered clouds
302,Kibala,TD,9.1104,18.3463,71.55,40,0,0.0,clear sky
303,Cidreira,BR,-30.1811,-50.2056,70.66,83,0,8.05,clear sky
304,Mareeba,AU,-17.0,145.4333,87.44,67,51,7.72,broken clouds
305,Florida,US,28.7505,-82.5001,64.76,69,0,5.75,clear sky
306,Mogadishu,SO,2.0371,45.3438,76.03,79,65,15.64,broken clouds
307,Bone,DE,51.9669,12.1396,44.38,78,100,18.68,overcast clouds
308,Hovd,MN,48.0056,91.6419,-1.34,58,0,11.34,clear sky
309,Cacheu,GW,12.2706,-16.1658,73.47,18,0,6.91,clear sky
310,Turinsk,RU,58.0458,63.696,2.93,98,82,5.44,broken clouds
311,Arucas,ES,28.1198,-15.5233,62.82,71,71,15.35,broken clouds
312,Ostrovnoy,RU,68.0531,39.5131,16.97,93,63,13.13,broken clouds
313,Maindargi,IN,17.4667,76.3,72.37,45,5,5.91,clear sky
314,Hvide Sande,DK,56.0045,8.1294,41.29,83,44,19.06,scattered clouds
315,Jijiang,CN,29.2906,106.2542,58.37,67,87,2.37,overcast clouds
316,Pemangkat,ID,1.1667,108.9667,77.41,84,100,5.57,overcast clouds
317,Guatire,VE,10.4762,-66.5427,77.5,94,83,1.72,broken clouds
318,Camacari,BR,-12.6975,-38.3242,82.17,85,0,4.54,clear sky
319,Padang,ID,-0.9492,100.3543,80.65,70,63,2.13,broken clouds
320,Thanatpin,MM,17.2119,96.3033,78.98,31,100,1.61,overcast clouds
321,Svetlyy,RU,54.675,20.1347,38.97,84,71,13.6,broken clouds
322,Bagdarin,RU,54.4333,113.6,-8.61,95,100,1.28,overcast clouds
323,Mehamn,NO,71.0357,27.8492,29.41,68,100,14.52,overcast clouds
324,Roma,US,43.2128,-75.4557,18.84,82,0,4.61,clear sky
325,Kapitanivka,UA,48.9172,31.7167,33.08,87,100,8.48,overcast clouds
326,Nykoping,SE,58.753,17.0079,35.89,80,0,9.22,clear sky
327,Mungwi,ZM,-10.1732,31.3694,57.78,98,92,2.82,overcast clouds
328,Vanimo,PG,-2.6741,141.3028,84.06,69,100,1.57,overcast clouds
329,Merauke,ID,-8.4667,140.3333,87.03,58,99,3.83,overcast clouds
330,Ascension,US,30.2169,-90.9001,59.27,77,0,4.61,clear sky
331,Gilgit,PK,35.9221,74.3087,31.03,75,87,2.73,overcast clouds
332,Bani Walid,LY,31.7566,13.9942,54.07,76,52,24.52,broken clouds
333,Chegdomyn,RU,51.1167,133.0167,3.81,80,24,2.21,few clouds
334,Praia,CV,14.9215,-23.5087,72.14,68,0,21.85,clear sky
335,Calama,CL,-22.4667,-68.9333,63.09,29,0,19.57,clear sky
336,Darhan,MN,49.4867,105.9228,-10.86,92,21,2.53,few clouds
337,Rawson,AR,-43.3002,-65.1023,73.31,47,28,14.67,scattered clouds
338,Atikokan,CA,48.7555,-91.6216,16.83,94,100,9.57,light snow
339,Gra Liyia,GR,35.0167,25.6833,51.13,71,5,4.0,clear sky
340,Tromso,NO,69.6496,18.957,14.02,92,10,2.3,clear sky
341,Fort Nelson,CA,58.8053,-122.7002,0.99,78,100,4.61,light snow
342,Sainte-Rose,GP,16.3324,-61.6979,77.04,78,31,6.91,scattered clouds
343,Rincon,US,32.296,-81.2354,54.12,66,20,9.22,few clouds
344,Bat Yam,IL,32.0231,34.7503,55.63,80,40,4.61,scattered clouds
345,Dingle,PH,10.9995,122.6711,83.1,63,100,11.95,overcast clouds
