City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Kota Belud,MY,82.26,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
371,Lodwar,KE,81.21,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
380,Champerico,GT,81.36,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
384,Sarangani,PH,81.3,scattered clouds,5.4033,125.4636,Ballistic Islet
387,Port Augusta,AU,75.7,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
389,Davila,PH,78.78,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
390,Thayetmyo,MM,78.35,few clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
392,Kiunga,PG,84.04,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
394,Meulaboh,ID,78.08,overcast clouds,4.1363,96.1285,Kost Pria
398,Mamallapuram,IN,77.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
399,Nelson Bay,AU,86.29,few clouds,-32.7167,152.15,Mantra Nelson Bay
400,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
401,Luganville,VU,84.94,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
404,Vaitape,PF,81.72,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
407,Muriwai Beach,NZ,75.87,overcast clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
410,San Juan,AR,86.52,clear sky,-31.5375,-68.5364,Hotel Provincial
412,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
419,Nata,PA,78.67,clear sky,8.3333,-80.5167,Rey David
420,Voh,NC,84.7,broken clouds,-20.9667,164.7,Le gîte du Koniambo
422,Manggar,ID,83.91,overcast clouds,-2.8833,108.2667,Guest Hotel
427,Biak,ID,80.85,broken clouds,-0.9131,122.8766,Penginapan Kim
428,Ternate,ID,83.23,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
431,Neiafu,TO,81.09,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
434,Tual,ID,82.04,clear sky,-5.6667,132.75,Grand Vilia Hotel
438,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
441,Morondava,MG,80.01,overcast clouds,-20.2833,44.2833,La Case Bambou
449,Nabire,ID,81.55,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
452,Byron Bay,AU,78.75,scattered clouds,-28.65,153.6167,Backpackers Inn
456,Basoko,CD,76.64,overcast clouds,1.2391,23.616,Jackyna Hotel
462,Kudahuvadhoo,MV,81.09,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
467,Isangel,VU,87.91,volcanic ash,-19.55,169.2667,Tanna Lodge
468,Achi,CO,76.87,scattered clouds,8.5682,-74.554,Hotel Sahar
472,Soyo,AO,78.37,overcast clouds,-6.1349,12.3689,Hotel Mpampa
474,Mildura,AU,85.96,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
476,Pilar,BR,75.13,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
